No,Name,Email,Phone number ,Website,Brefly information,,,,,,,,
1,Amaze,info@amaze.org.au,1300308699,https://www.amaze.org.au/understand-autism/about-autism/,a support organisation for autistic people in Victoria,,,,,,,,
2,Aspect,customerservice@autismspectrum.org.au,1800277328,https://www.autismspectrum.org.au/about-autism/what-is-autism, a charity providing services for people with autism in Australia,,,,,,,,
3,Association for Children with a Disability,mail@acd.org.au,398807000,https://www.acd.org.au/,helps families find support and advocacy services,,,,,,,,
4,Autism Awareness Australia ,office@autismawareness.com.au,1300900681,https://www.autismawareness.com.au/understanding-autism,an autism education and awareness charity,,,,,,,,
5,Autism CRC Knowledge Centre ,info@autismcrc.com.au,733770600,https://www.autismcrc.com.au/knowledge-centre,includes research and tools for the autism community,,,,,,,,
6,Autism Family Support Association ,contact@afsaconnect.org.au,421642364,https://www.afsaconnect.org.au/,"helps parents, carers and families of people with autism",,,,,,,,
7,Better Health Channel,betterhealthchannel@health.vic.gov.au,1300606024,https://www.betterhealth.vic.gov.au/health/conditionsandtreatments/autism-spectrum-disorder-asd,provides health and medical information in Victoria,,,,,,,,
8,REiMAGiNE AUSTRALiA,ecia@ecia.org.au,298732593,https://re-imagine.com.au/,provides information about early childhood intervention services (formerly known as Early Childhood Intervention Australia - ECIA),,,,,,,,
9,Positive Partnerships ,through online form,1300881971,https://www.positivepartnerships.com.au/,"provides autism workshops, webinars and online learning for parents and schools",,,,,,,,
10,Raising Children Network ,through online form,,https://raisingchildren.net.au/autism,provides information and advice for parents in Australia,,,,,,,,
11,Yellow Ladybugs,info@yellowladybugs.com.au,,https://www.yellowladybugs.com.au/,advocates for the rights of girls and young women with autism.,,,,,,,,
12,ASDetect,ask@asdetect.org,,https://asdetect.org/,"if your child is younger than two and a half years old, this free app helps you monitor their social attention and communication skills",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
