Name ,Sport,Contact,Website,Address,District,Latitude,Longitude
RDA Woolamai,Riding,08 8354 4555,https://www.rda.org.au/,"54 Trew Road, Woolamai  VIC 3995",Woolamai  VIC 3995,,
RDA Pakenham,Riding,08 8354 4555,https://www.rda.org.au/,"775 Five Mile Road, Pakenham VIC 3810",Pakenham VIC 3810,,
RDA Swan Hill,Riding,08 8354 4555,https://www.rda.org.au/,"21 Tyntynder South Road, Tyntynder South VIC 3586",Tyntynder South 3586,,
RDA Terang,Riding,08 8354 4555,https://www.rda.org.au/,"Glenormiston College,Noorat Road, Glenormiston South  VIC 3265",Glenormiston South  VIC 3265,,
RDA Viewbank,Riding,08 8354 4555,https://www.rda.org.au/,"332 Banyule Road, Viewbank  VIC 3084",Viewbank  VIC 3084,,
RDA Warracknabeal,Riding,08 8354 4555,https://www.rda.org.au/,"Warracknabeal Racecourse, Henty Highway, Warracknabeal VIC 3393",Warracknabeal VIC 3393,,
RDA Warragul,Riding,08 8354 4555,https://www.rda.org.au/,"Logan Park, Howitt Street, Warragul VIC 3820",Warragul VIC 3820,,
RDA Warrandyte,Riding,08 8354 4555,https://www.rda.org.au/,"72-84 Husseys Lane, Warrandyte VIC 3113",Warrandyte VIC 3113,,
RDA Warrnambool,Riding,08 8354 4555,https://www.rda.org.au/,"High View Horse Complex, Illowa Road, Illowa VIC 3282 ",Illowa VIC 3282,,
RDA Western Port,Riding,08 8354 4555,https://www.rda.org.au/,"Woolleys Road Equestrian Reserve, Crib Point VIC 3919",Crib Point VIC 3919,,
RDA Moorabbin,Riding,08 8354 4555,https://www.rda.org.au/,"Dingley Bypass, Barkers Road, Moorabbin VIC 3189",Moorabbin VIC 3189,,
RDA Mornington Carriage Driving,Riding,08 8354 4555,https://www.rda.org.au/,"Mornington Racecourse, Mornington VIC 3931",Mornington VIC 3931,,
RDA Myrtleford,Riding,08 8354 4555,https://www.rda.org.au/,"36 Clyde Street, Myrtleford VIC 3737",Myrtleford VIC 3737,,
RDA Oaklands,Riding,08 8354 4555,https://www.rda.org.au/,"Oaklands Hunt Club, 1040 Somerton Road, Greenvale VIC 3059",Greenvale VIC 3059,,
RDA Peninsula,Riding,08 8354 4555,https://www.rda.org.au/,"1135 Moorooduc Road, Moorooduc VIC 3933",Moorooduc VIC 3933,,
RDA Portland,Riding,08 8354 4555,https://www.rda.org.au/,"211 Hodgetts Road, Gorae VIC 3305 ",Gorae VIC 3305,,
RDA Seymour,Riding,08 8354 4555,https://www.rda.org.au/,"Kings Park, Tallarook Street, Seymour VIC 3660",Seymour VIC 3660,,
RDA Shepparton,Riding,08 8354 4555,https://www.rda.org.au/,"William Orr GOTAFE Campus, Wanganui Road, Shepparton VIC 3660",Shepparton VIC 3660,,
RDA St Andrews,Riding,08 8354 4555,https://www.rda.org.au/,"180 Clintons Road, Smiths Gully VIC 3760",Smiths Gully VIC 3760,,
RDA Stawell,Riding,08 8354 4555,https://www.rda.org.au/,"49 Bulgana Road, Stawell VIC 3380",Stawell VIC 3380,,
RDA Bundoora Park,Riding,08 8354 4555,https://www.rda.org.au/,"1069 Plenty Road, Bundooa VIC 3083",Bundooa VIC 3083,,
RDA Cobram,Riding,08 8354 4555,https://www.rda.org.au/,"16 Bank Street, Cobram VIC 3644 ",Cobram VIC 3644,,
RDA Colac,Riding,08 8354 4555,https://www.rda.org.au/,"Adult Riding Club, Colac-Lavers Hill Road, Elliminyt VIC 3250",Elliminyt VIC 3250,,
RDA Daylesford,Riding,08 8354 4555,https://www.rda.org.au/,"Boomerang Ranch, Ranch Road, Daylesford VIC 3460",Daylesford VIC 3460,,
RDA Doveton,Riding,08 8354 4555,https://www.rda.org.au/,"182 Kidds Road, Doveton VIC 3177",Doveton VIC 3177,,
RDA Echuca,Riding,08 8354 4555,https://www.rda.org.au/,"Echuca Racecourse, Murray Valley Highway, Echuca VIC 3564",Echuca VIC 3564,,
RDA Hamilton,Riding,08 8354 4555,https://www.rda.org.au/,"Hamilton & Alexandra College Equestrian Centre, North Boundary Road, Hamilton VIC 3300",Hamilton VIC 3300,,
RDA Horsham,Riding,08 8354 4555,https://www.rda.org.au/,"96-98 Riverside Road, Dooen VIC 3401",Dooen VIC 3401,,
RDA Knox,Riding,08 8354 4555,https://www.rda.org.au/,Wantirna South VIC 3152,Wantirna South VIC 3152,,
RDA Melton,Riding,08 8354 4555,https://www.rda.org.au/,"976 Leakes Road, Rockbank VIC 3335",Rockbank VIC 3335,,
RDA Bairnsdale,Riding,08 8354 4555,https://www.rda.org.au/,"Racecourse Road, Bairnsdale VIC 3875 ",Bairnsdale VIC 3875,,
RDA Ballarat,Riding,08 8354 4555,https://www.rda.org.au/,"University of Ballarat Equine Centre, Rosehill Road, Mt Rowan VIC 3352",Mt Rowan VIC 3352,,
RDA Barwon,Riding,08 8354 4555,https://www.rda.org.au/,"Koombahla Park, Wallington Road, Wallington VIC 3221",Wallington VIC 3221,,
RDA Bendigo,Riding,08 8354 4555,https://www.rda.org.au/,"32 Hannans Road, Mandurang South VIC 3551",Mandurang South VIC 3551,,
Ballarat Aquatic Centre,Aquatics,(03) 5334 2499,https://www.ballarataquaticcentre.com/,"Prince of Wales Recreation Reserve, Gillies Street, Lake Gardens VIC 3350",Lake Gardens VIC 3350,,
