,Name ,Sport,Contact,Address,District,Level
0,Ballarat Gymsports,Gymnastics,03 5336 2605,"Cnr Longley Street and Abattoir Street, Alfredton VIC 3350",Alfredton VIC 3350,Hard
1,Avondale Heights Tennis Club,Tennis,09 3186 063,"Doyle street Reserve, Cornwall street ,Avondale Heights VIC 3034",Avondale Heights VIC 3034,Middle
2,RDA Bairnsdale,Riding,08 8354 4555,"Racecourse Road, Bairnsdale VIC 3875",Bairnsdale VIC 3875,Hard
3,OZ Tenpin Ballarat,Tenpin Bowling,(03) 5331 5610,"901 Doveton St North, Ballarat North VIC 3350",Ballarat North VIC 3350,Simple
4,Beaconsfield Tennis Club,Tennis,0412 682 569,"55 Old Princes Highway, Beaconsfield VIC 3807",Beaconsfield VIC 3807,Middle
5,Oz Tenpin Geelong Bowling,Tenpin Bowling,(03) 5241 2200,"49 Reynolds Rd, Belmont VIC 3216",Belmont VIC 3216,Simple
6,Bendigo Bowling Centre,Tenpin Bowling,(03)54439944,"159 Hargreaves Street, Bendigo VIC 3550",Bendigo VIC 3550,Simple
7,Berwick Leisure Centre YMCA,Gymnastics,(03) 9707 3371,"79 Manuka Road, Berwick VIC 3806",Berwick VIC 3806,Hard
8,Zone Bowling Boronia,Tenpin Bowling,03 9021 1418,"125 Boronia Rd, Boronia VIC 3155",Boronia VIC 3155,Simple
9,Freccia Azzurra Club,Bocce,(03) 9701-8888,"784-796 Springvale Road, Braeside VIC 3195",Braeside VIC 3195,Hard
10,Veneto Club,Bocce,9850 7111,"191 Bulleen Road, Bulleen VIC 3105",Bulleen VIC 3105,Hard
11,RDA Bundoora Park,Riding,08 8354 4555,"1069 Plenty Road, Bundooa VIC 3083",Bundooa VIC 3083,Hard
12,RDA Cobram,Riding,08 8354 4555,"16 Bank Street, Cobram VIC 3644",Cobram VIC 3644,Hard
13,Colac Tenpin Bowl,Tenpin Bowling,(03) 5231 4100,"86 Murray Street, Colac VIC 3250",Colac VIC 3250,Simple
14,RDA Western Port,Riding,08 8354 4555,"Woolleys Road Equestrian Reserve, Crib Point VIC 3919",Crib Point VIC 3919,Hard
15,Dandenong Oasis,Aquatics,9767 3100,"Heatherton Road & Cleeland Street, Dandenong VIC 3175",Dandenong VIC 3175,Middle
16,Dandenong Stadium,Basketball,(03) 9794 7192,"270 Stud Road, Dandenong VIC 3175",Dandenong VIC 3175,Middle
17,RDA Daylesford,Riding,08 8354 4555,"Boomerang Ranch, Ranch Road, Daylesford VIC 3460",Daylesford VIC 3460,Hard
18,BTYC Gymnastics,Gymnastics,(03) 9841 4773,"360 Springvale Road, Donvale VIC 3111",Donvale VIC 3111,Hard
19,RDA Horsham,Riding,08 8354 4555,"96-98 Riverside Road, Dooen VIC 3401",Dooen VIC 3401,Hard
20,RDA Doveton,Riding,08 8354 4555,"182 Kidds Road, Doveton VIC 3177",Doveton VIC 3177,Hard
21,YMCA Eaglehawk Leisure Centre,Aquatics,03 5446 9222,"Napier Street, Eaglehawk VIC 3556",Eaglehawk VIC 3556,Middle
22,Nunawading Basketball Stadium,Basketball,(03) 9802 671,"Nunawading Basketball Centre, East Burwood Reserve, Burwood Highway, East Burwood VIC 3151",East Burwood VIC 3151,Middle
